S.no.,user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions,textblob_polarity,nltk_compound,avg_sentiment,textblob_sentiment,nltk_sentiment,priority
104,391,391,Prakashkumar_07,"New Delhi, India",57,24,2022-11-08 17:13:55+00:00,640,0,portal status check rha complaint found show hota hai jbki mujhe complaint mujhe mail aaya tha complaint krne baad,[],"[{'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [0, 15]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [16, 26]}, {'screen_name': 'GyaneshBharti1', 'name': 'Gyanesh Bharti', 'id': 4455654073, 'id_str': '4455654073', 'indices': [27, 42]}]",-0.3,-0.6808,-1,-1,-1,1
105,404,404,cmsinghhp,"New Delhi, India",128,65,2022-11-08 16:58:47+00:00,5409,0,highly poor mindset respective decision maker india give strengthening power criminal commit crime protect poor law free charge crime justice human,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]",-0.1333333,-0.1084,-1,-1,-1,0
107,409,409,cmsinghhp,"New Delhi, India",128,65,2022-11-08 16:56:35+00:00,5409,0,highly poor mindset respective decision maker india give strengthening power criminal commit crime protect poor law free charge crime justice human,[],"[{'screen_name': 'AshwiniUpadhyay', 'name': 'Ashwini Upadhyay ‡§Ö‡§∂‡•ç‡§µ‡§ø‡§®‡•Ä ‡§â‡§™‡§æ‡§ß‡•ç‡§Ø‡§æ‡§Ø', 'id': 1549631191, 'id_str': '1549631191', 'indices': [0, 16]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [17, 30]}]",-0.1333333,-0.1084,-1,-1,-1,0
110,419,419,manjunathanaik6,"Hoskote, Bengaluru South",1607,70,2022-11-08 16:45:27+00:00,519,0,every indian behind ahead jai modiji,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'BJP4Himachal', 'name': 'BJP Himachal Pradesh', 'id': 775379648, 'id_str': '775379648', 'indices': [14, 27]}]",-0.4,0,-1,-1,0,0
113,425,425,shri_traders,"Armur, India",341,46,2022-11-08 16:33:04+00:00,2025,0,please consider muscler dystrophy medicine emergency,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]",0,-0.0772,-1,0,-1,1
116,430,430,veerappavenkap1,"Bengaluru, India",4919,5444,2022-11-08 16:23:34+00:00,53926,7,face demo mess wonder chelle chapate talk epic mess,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [34, 47]}]",-0.0833333,-0.6124,-1,-1,-1,0
117,434,434,aashish_gogna,"Tilak Nagar, New Delhi",382,118,2022-11-08 16:16:40+00:00,12240,0,socha puch illegal resort demolished still operational heard news video action illegal activity carrying,[],"[{'screen_name': 'pushkardhami', 'name': 'Pushkar Singh Dhami', 'id': 88343658, 'id_str': '88343658', 'indices': [0, 13]}, {'screen_name': 'OfficeofDhami', 'name': 'Office Of Pushkar Singh Dhami', 'id': 1448264598277160963, 'id_str': '1448264598277160963', 'indices': [14, 28]}, {'screen_name': 'BJP4UK', 'name': 'BJP Uttarakhand', 'id': 2229508381, 'id_str': '2229508381', 'indices': [100, 107]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [191, 204]}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': 2990611686, 'id_str': '2990611686', 'indices': [205, 213]}]",-0.3,-0.802,-1,-1,-1,0
119,437,437,SERVETHENATIOW,"Jammu, Jammu And Kashmir, Indi",5004,117,2022-11-08 16:12:50+00:00,2959,0,jai hind jai bharat maa jammu kashmir india belong poor family touch foot please admission,[],"[{'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [0, 12]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [13, 26]}, {'screen_name': 'MorganStanley', 'name': 'Morgan Stanley', 'id': 426159377, 'id_str': '426159377', 'indices': [27, 41]}]",-0.4,-0.2023,-1,-1,-1,0
121,442,442,aashish_gogna,"Tilak Nagar, New Delhi",382,118,2022-11-08 16:04:17+00:00,12240,0,line railway failed deliver smooth execution ops dedicated freight corridor delayed passenger train running behind timeline area express superfast train running called junction,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [229, 242]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [243, 259]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [260, 276]}]",-0.1666667,-0.296,-1,-1,-1,1
122,443,443,RajlkxmiD,,227,20,2022-11-08 16:03:55+00:00,1208,0,option others honourable president something wrong valdimir putin whole world cannot unity thinking time understood everyone thought jay hind india,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]",-0.15,0,-1,-1,0,0
124,445,445,Kalidas2112,,13,5,2022-11-08 15:58:33+00:00,1055,0,big failure life common man suffering fro redevelopment project mhada money making racket look like devendra prakash mehta understanding harassing redevelopment affected people,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [14, 23]}]",-0.2055556,-0.8402,-1,-1,-1,0
129,453,453,ganga_vihar,,20,19,2022-11-08 15:49:08+00:00,1107,0,acknowledgement action complaint till date complaining last month weekly monthly scheme encroachment government footpath also captial city india,[],"[{'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [0, 15]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [16, 26]}, {'screen_name': 'GyaneshBharti1', 'name': 'Gyanesh Bharti', 'id': 4455654073, 'id_str': '4455654073', 'indices': [230, 245]}, {'screen_name': 'AshwaniKumar_92', 'name': 'Ashwani Kumar', 'id': 728434197812019200, 'id_str': '728434197812019200', 'indices': [246, 262]}, {'screen_name': 'SBM_MCD', 'name': 'Swachh Survekshan MCD', 'id': 957621630238326784, 'id_str': '957621630238326784', 'indices': [263, 271]}, {'screen_name': 'EastDelhiMCD', 'name': 'East Delhi MCD', 'id': 734827505530458112, 'id_str': '734827505530458112', 'indices': [272, 285]}, {'screen_name': 'dcshahsouth', 'name': 'Deputy Commissioner, Shahdara South Zone', 'id': 1366341026282049538, 'id_str': '1366341026282049538', 'indices': [286, 298]}]",-0.0666667,-0.4588,-1,-1,-1,1
132,456,456,Kalidas2112,,13,5,2022-11-08 15:44:52+00:00,1055,0,see ground reality statue sardar pathetic condition visited fly make chief officer check project would really ready people lost money line booking paid twice money keeping child hungry child food,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]",1.85E-17,-0.5378,-1,1,-1,1
136,469,469,Kalidas2112,,13,5,2022-11-08 15:32:34+00:00,1055,0,run every sec affected redevelopment project worked hard gadkari amit devendra team selected would like rate ipc within one month,[],"[{'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [0, 9]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [10, 23]}]",-0.1958333,0.128,-1,-1,1,0
141,476,476,Kalidas2112,,13,5,2022-11-08 15:23:59+00:00,1055,0,decided take one instant decision prakash mehta ineffective maid life hopeless man bat implemented even kick let everyone join shepoy reach positi,[],"[{'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [0, 9]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [10, 23]}]",0,-0.296,-1,0,-1,0
144,480,480,Kalidas2112,,13,5,2022-11-08 15:19:24+00:00,1055,0,portal hopeless prakash mehta maid lost money,[],"[{'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [0, 9]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [10, 23]}]",0,-0.6486,-1,0,-1,1
145,481,481,ajay_chawla,"Ludhiana, India",157,35,2022-11-08 15:18:51+00:00,102,0,insurance sector denying cashless filmsy ground need indulgence large,[],"[{'screen_name': 'DFS_India', 'name': 'DFS', 'id': 941222717943975936, 'id_str': '941222717943975936', 'indices': [83, 93]}, {'screen_name': 'starhealthpkl', 'name': 'starhealth', 'id': 886903007627157504, 'id_str': '886903007627157504', 'indices': [94, 108]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [109, 118]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [119, 132]}, {'screen_name': 'TOIIndiaNews', 'name': 'TOI India', 'id': 29958928, 'id_str': '29958928', 'indices': [133, 146]}, {'screen_name': 'ABVPVoice', 'name': 'ABVP', 'id': 301382741, 'id_str': '301382741', 'indices': [147, 157]}, {'screen_name': 'thetribunechd', 'name': 'The Tribune', 'id': 3046490198, 'id_str': '3046490198', 'indices': [158, 172]}]",0.21428571,-0.34,-1,1,-1,1
146,483,483,Kalidas2112,,13,5,2022-11-08 15:16:37+00:00,1055,0,aaple sarkar portal hopeless also portal justice redevelopment affected family news raut concerned family raut court slow processing unit let compelled give verdict year,[],"[{'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [0, 9]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [10, 23]}]",-0.3,0.1531,-1,-1,1,1
147,484,484,shivamg26400051,"‡§®‡§à ‡§¶‡§ø‡§≤‡•ç‡§≤‡•Ä, ‡§≠‡§æ‡§∞‡§§",35,0,2022-11-08 15:16:00+00:00,131,1,current situation rohtang pas manali place polluted badly affacts himalaya glacier river everything contaminated,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}]",-0.35,-0.7269,-1,-1,-1,1
149,487,487,Kalidas2112,,13,5,2022-11-08 15:12:48+00:00,1055,0,take parliamentary language ask minister rehab redevelopment project affected family within month rent paid mhada act immediately put acb,[],"[{'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [0, 9]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [10, 23]}]",0,-0.1531,-1,0,-1,1
150,489,489,Indiarising62,"Pune, India",334,27,2022-11-08 15:12:20+00:00,1449,0,dirty money aap need investigation lie detector request justified take action,[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [70, 85]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [113, 126]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [127, 136]}, {'screen_name': 'KirenRijiju', 'name': 'Kiren Rijiju', 'id': 3241214268, 'id_str': '3241214268', 'indices': [137, 149]}, {'screen_name': 'raghav_chadha', 'name': 'Raghav Chadha', 'id': 98815583, 'id_str': '98815583', 'indices': [150, 164]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [165, 174]}, {'screen_name': 'navikakumar', 'name': 'Navika Kumar', 'id': 74710498, 'id_str': '74710498', 'indices': [175, 187]}, {'screen_name': 'MahuaMoitra', 'name': 'Mahua Moitra', 'id': 426431202, 'id_str': '426431202', 'indices': [188, 200]}, {'screen_name': 'rahulkanwal', 'name': 'Rahul Kanwal', 'id': 75509967, 'id_str': '75509967', 'indices': [202, 214]}, {'screen_name': 'sardesairajdeep', 'name': 'Rajdeep Sardesai', 'id': 56304605, 'id_str': '56304605', 'indices': [215, 231]}, {'screen_name': 'sambitswaraj', 'name': 'Sambit Patra', 'id': 1368737382, 'id_str': '1368737382', 'indices': [232, 245]}, {'screen_name': 'gauravbh', 'name': 'Gaurav Bhatia ‡§ó‡•å‡§∞‡§µ ‡§≠‡§æ‡§ü‡§ø‡§Ø‡§æ', 'id': 59112159, 'id_str': '59112159', 'indices': [246, 255]}, {'screen_name': 'RubikaLiyaquat', 'name': 'Rubika Liyaquat', 'id': 1062742964, 'id_str': '1062742964', 'indices': [256, 271]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [272, 282]}]",-0.0333333,-0.0516,-1,-1,-1,0
151,491,491,shivamg26400051,"‡§®‡§à ‡§¶‡§ø‡§≤‡•ç‡§≤‡•Ä, ‡§≠‡§æ‡§∞‡§§",35,0,2022-11-08 15:10:48+00:00,131,0,condition rohtang pas manali glacier himalaya polluted badly trash hazardous hill glacier river environment,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}]",-0.05,-0.7269,-1,-1,-1,1
152,494,494,Parmana80161952,,74,59,2022-11-08 15:08:39+00:00,3030,1,india fully targeted headed crime since long fraudulent officer habitual evading truth located noted reference,"[{'text': 'TruthMatter', 'indices': [157, 169]}, {'text': 'SupremeCourtOfIndia', 'indices': [255, 275]}, {'text': 'CJIndia', 'indices': [281, 289]}, {'text': 'Overflow', 'indices': [302, 311]}, {'text': 'HumanRights', 'indices': [380, 392]}, {'text': 'NOTICE', 'indices': [420, 427]}]","[{'screen_name': 'DrAliceJEdwards', 'name': 'Alice J Edwards UN Special Rapporteur Torture', 'id': 854635061798371330, 'id_str': '854635061798371330', 'indices': [0, 16]}, {'screen_name': 'NicoleGodly', 'name': 'Nicole Godly', 'id': 1481245479266660352, 'id_str': '1481245479266660352', 'indices': [17, 29]}, {'screen_name': 'UN_HRC', 'name': 'UN Human Rights Council', 'id': 70985635, 'id_str': '70985635', 'indices': [30, 37]}, {'screen_name': 'UN', 'name': 'United Nations', 'id': 14159148, 'id_str': '14159148', 'indices': [38, 41]}, {'screen_name': 'UN_News_Centre', 'name': 'UN News', 'id': 104277809, 'id_str': '104277809', 'indices': [42, 57]}, {'screen_name': 'UNGeneva', 'name': 'UN Geneva', 'id': 164263382, 'id_str': '164263382', 'indices': [58, 67]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [68, 77]}, {'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [78, 94]}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': 1231877652715208705, 'id_str': '1231877652715208705', 'indices': [95, 106]}, {'screen_name': 'GovtOfIndia_', 'name': 'Government of India‚ùÑ', 'id': 715619001641017344, 'id_str': '715619001641017344', 'indices': [107, 120]}, {'screen_name': 'bihargov', 'name': 'Government of Bihar', 'id': 721663901029560320, 'id_str': '721663901029560320', 'indices': [121, 130]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [131, 144]}, {'screen_name': 'GovtOfIndia_', 'name': 'Government of India‚ùÑ', 'id': 715619001641017344, 'id_str': '715619001641017344', 'indices': [188, 201]}, {'screen_name': 'bihargov', 'name': 'Government of Bihar', 'id': 721663901029560320, 'id_str': '721663901029560320', 'indices': [202, 211]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [222, 235]}, {'screen_name': 'NitishKumar', 'name': 'Nitish Kumar', 'id': 143409075, 'id_str': '143409075', 'indices': [236, 248]}]",-0.05,-0.6872,-1,-1,-1,1
154,497,497,Anshuku81403329,"Patna, India",459,19,2022-11-08 15:06:59+00:00,1544,0,sir name anshu kumar mobile registered complaint action type fraudster merchant name paytm rental noida fraudster mobile,[],"[{'screen_name': 'HomeMinistr2024', 'name': 'Home Ministry Of India', 'id': 1310448242761498624, 'id_str': '1310448242761498624', 'indices': [0, 16]}, {'screen_name': 'MahaCyber1', 'name': 'Maharashtra Cyber', 'id': 913298364275367936, 'id_str': '913298364275367936', 'indices': [17, 28]}, {'screen_name': 'MumbaiPolice', 'name': '‡§Æ‡•Å‡§Ç‡§¨‡§à ‡§™‡•ã‡§≤‡•Ä‡§∏ - Mumbai Police', 'id': 4573405572, 'id_str': '4573405572', 'indices': [29, 42]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [43, 52]}]",-0.1,-0.8481,-1,-1,-1,1
155,498,498,TheNPalSingh,Jaipur ,893,352,2022-11-08 15:06:35+00:00,39261,0,article abrogated pakistan sponsored terrorism stopped stone pelting ceased muslim woman like freed curse triple talaq one country one tax gst implemented india free communal riot,[],"[{'screen_name': 'drshamamohd', 'name': 'Dr. Shama Mohamed', 'id': 941134694, 'id_str': '941134694', 'indices': [0, 12]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [13, 26]}]",0.4,-0.7269,-1,1,-1,0
157,501,501,jshethad1,India,374,518,2022-11-08 15:04:12+00:00,1005,0,sir need take stern action real culprit morbi bridge tragedy,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]",0.15,-0.6597,-1,1,-1,0
168,512,512,yogeshkumarfca,"Faridabad, India",24,18,2022-11-08 14:40:26+00:00,291,5,year since legal battle jaypee delay outcome powerful battery lawyer witnessing lawyer wasting court time irrelevant fact argument urge nclt modi yogi understand plight helpless home buyer,[],"[{'screen_name': 'raoshweta1978', 'name': 'Shweta Rao', 'id': 268888486, 'id_str': '268888486', 'indices': [0, 14]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [15, 24]}, {'screen_name': 'CMOfficeUP', 'name': 'CM Office, GoUP', 'id': 2587240482, 'id_str': '2587240482', 'indices': [25, 36]}, {'screen_name': 'MoHUA_India', 'name': 'Ministry of Housing and Urban Affairs', 'id': 2665238888, 'id_str': '2665238888', 'indices': [37, 49]}, {'screen_name': 'FinMinIndia', 'name': 'Ministry of Finance', 'id': 2613904818, 'id_str': '2613904818', 'indices': [50, 62]}]",0,-0.8316,-1,0,-1,0
169,513,513,ImMrRajnish,Noida ,69,9,2022-11-08 14:32:21+00:00,37,0,discused taking complaint saying need discus sdo sdo taking action closed builder builder bjp leader moving circle,[],"[{'screen_name': 'UPPCLLKO', 'name': 'UPPCL', 'id': 702796463642972160, 'id_str': '702796463642972160', 'indices': [0, 9]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [10, 19]}, {'screen_name': 'dmgbnagar', 'name': 'DM G.B. Nagar', 'id': 874516907256197120, 'id_str': '874516907256197120', 'indices': [20, 30]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [31, 47]}, {'screen_name': 'UPPCLLKO', 'name': 'UPPCL', 'id': 702796463642972160, 'id_str': '702796463642972160', 'indices': [51, 60]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [281, 297]}, {'screen_name': 'EMofficeUP', 'name': 'Energy Minister Office UP', 'id': 844866372278530048, 'id_str': '844866372278530048', 'indices': [298, 309]}, {'screen_name': 'dmgbnagar', 'name': 'DM G.B. Nagar', 'id': 874516907256197120, 'id_str': '874516907256197120', 'indices': [310, 320]}]",-0.1,-0.296,-1,-1,-1,1
171,515,515,Dactoristic,Jahan Tu Vahan Main,6865,8664,2022-11-08 14:30:25+00:00,15795,0,pathogenic strain virus bacteria come know vaccine made nonpathogenic strain,[],[],0,-0.1027,-1,0,-1,0
173,518,518,rvrishabh0306,"Indore, India",509,246,2022-11-08 14:29:27+00:00,12105,0,delhi terrible vouch hvng experiencing last couple day nose blocked eye hurt med imagine must impacting delhites outrageous courtesy annadata,"[{'text': 'pollution', 'indices': [4, 14]}, {'text': 'stubbleburning', 'indices': [251, 266]}]","[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [270, 279]}]",-0.6666667,-0.8442,-1,-1,-1,1
179,528,528,ayushe23,,68,21,2022-11-08 14:12:29+00:00,108,0,claim mot father passed away nov formality done side claim still update call gmail month filed claim scam,[],"[{'screen_name': 'ICICILombard', 'name': 'ICICI Lombard GIC', 'id': 42367037, 'id_str': '42367037', 'indices': [0, 13]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [229, 242]}, {'screen_name': 'SonuSood', 'name': 'sonu sood', 'id': 295026890, 'id_str': '295026890', 'indices': [243, 252]}, {'screen_name': 'SoodFoundation', 'name': 'Sood Charity Foundation', 'id': 1354335105108434946, 'id_str': '1354335105108434946', 'indices': [253, 268]}]",0,-0.5719,-1,0,-1,1
183,535,535,RAJESHKUMARTI20,,64,6,2022-11-08 14:02:16+00:00,445,0,demand govt ban india bcz cheated deposit money giving false reply ban india start inquiry money laundering activity,[],"[{'screen_name': 'BetwaySupport', 'name': 'Betway Support', 'id': 1218811452, 'id_str': '1218811452', 'indices': [0, 14]}, {'screen_name': 'dir_ed', 'name': 'ED', 'id': 2650172756, 'id_str': '2650172756', 'indices': [132, 139]}, {'screen_name': 'RBI', 'name': 'ReserveBankOfIndia', 'id': 478432912, 'id_str': '478432912', 'indices': [140, 144]}, {'screen_name': 'RBIsays', 'name': 'RBI Says', 'id': 1158715004616450048, 'id_str': '1158715004616450048', 'indices': [145, 153]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [154, 163]}, {'screen_name': 'pmo', 'name': 'pmo', 'id': 12407832, 'id_str': '12407832', 'indices': [164, 168]}]",-0.4,-0.8625,-1,-1,-1,1
188,541,541,RAJESHKUMARTI20,,64,6,2022-11-08 13:58:35+00:00,445,0,looking going bcz indian indian political system corrupt otherwise liable ban india cheated deposit already informed action done request,[],"[{'screen_name': 'BetwaySupport', 'name': 'Betway Support', 'id': 1218811452, 'id_str': '1218811452', 'indices': [0, 14]}, {'screen_name': 'dir_ed', 'name': 'ED', 'id': 2650172756, 'id_str': '2650172756', 'indices': [205, 212]}, {'screen_name': 'RBI', 'name': 'ReserveBankOfIndia', 'id': 478432912, 'id_str': '478432912', 'indices': [213, 217]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [222, 231]}]",-0.125,-0.7845,-1,-1,-1,0
190,543,543,devilpathan,"Mumbai, india",169,267,2022-11-08 13:56:46+00:00,468,0,every day water cut mumbra cannot even complain mla bcoz mla jitendre awhad blocked twitter bcoz complained tanker mafia commission,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}, {'screen_name': 'CMOMaharashtra', 'name': 'CMO Maharashtra', 'id': 2597666894, 'id_str': '2597666894', 'indices': [10, 25]}, {'screen_name': 'Dev_Fadnavis', 'name': 'Devendra Fadnavis', 'id': 137780376, 'id_str': '137780376', 'indices': [26, 39]}, {'screen_name': 'PawarSpeaks', 'name': 'Sharad Pawar', 'id': 2150403589, 'id_str': '2150403589', 'indices': [40, 52]}, {'screen_name': 'supriya_sule', 'name': 'Supriya Sule', 'id': 2277402223, 'id_str': '2277402223', 'indices': [53, 66]}, {'screen_name': 'TMCaTweetAway', 'name': 'Thane Municipal Corporation - ‡§†‡§æ‡§£‡•á ‡§Æ‡§π‡§æ‡§®‡§ó‡§∞‡§™‡§æ‡§≤‡§ø‡§ï‡§æ', 'id': 730504518, 'id_str': '730504518', 'indices': [67, 81]}, {'screen_name': 'midc_india', 'name': 'MIDC India', 'id': 3398451371, 'id_str': '3398451371', 'indices': [82, 93]}]",-0.3,-0.5845,-1,-1,-1,1
192,545,545,RAJESHKUMARTI20,,64,6,2022-11-08 13:53:34+00:00,445,0,bolo cheater fraudulent kitna lootoge india meri deposit kha gaye aur desh agency rahi lootate raho aap permission hai involved cheating taking action,[],"[{'screen_name': 'BetwaySupport', 'name': 'Betway Support', 'id': 1218811452, 'id_str': '1218811452', 'indices': [24, 38]}, {'screen_name': 'Betway_India', 'name': 'Betway India', 'id': 1480552359830994949, 'id_str': '1480552359830994949', 'indices': [39, 52]}, {'screen_name': 'dir_ed', 'name': 'ED', 'id': 2650172756, 'id_str': '2650172756', 'indices': [162, 169]}, {'screen_name': 'RBI', 'name': 'ReserveBankOfIndia', 'id': 478432912, 'id_str': '478432912', 'indices': [170, 174]}, {'screen_name': 'KP24', 'name': 'Kevin Pietersenü¶è', 'id': 171117515, 'id_str': '171117515', 'indices': [188, 193]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [221, 230]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [235, 247]}]",0.1,-0.8834,-1,1,-1,1
